dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
mep,24,lr,Baseline,Baseline,-0.07,-0.122,-0.078,-0.031,-0.042,-0.026,-0.102,-0.181,-0.112,0.857,0.696,0.781,0.663,0.023724,2.888671875
mep,24,rf,Baseline,Baseline,-0.043,-0.031,-0.025,-0.023,-0.008,-0.007,-0.072,-0.094,-0.059,0.86,0.703,0.787,0.67,0.719099,25319.8046875
mep,24,svm,Baseline,Baseline,-0.058,-0.092,-0.06,-0.019,-0.018,-0.01,-0.079,-0.129,-0.079,0.855,0.682,0.781,0.649,0.068517,2.767578125
mep,24,xgb,Baseline,Baseline,-0.066,-0.074,-0.054,-0.047,-0.07,-0.045,-0.111,-0.172,-0.11,0.858,0.723,0.767,0.697,0.155564,341.0888671875
mep,25,lr,Baseline,Baseline,-0.05,-0.039,-0.029,-0.032,-0.026,-0.018,-0.086,-0.07,-0.051,0.854,0.689,0.768,0.658,0.025331,2.888671875
mep,25,rf,Baseline,Baseline,-0.035,0.042,0.013,-0.029,-0.041,-0.022,-0.069,-0.024,-0.023,0.853,0.693,0.761,0.664,0.724377,25017.9296875
mep,25,svm,Baseline,Baseline,-0.044,-0.024,-0.021,-0.024,-0.006,-0.006,-0.072,-0.034,-0.03,0.851,0.677,0.762,0.647,0.063919,2.767578125
mep,25,xgb,Baseline,Baseline,-0.055,0.0,-0.014,-0.047,-0.054,-0.037,-0.102,-0.041,-0.045,0.848,0.703,0.741,0.681,0.155471,341.287109375
mep,26,lr,Baseline,Baseline,-0.055,-0.064,-0.042,-0.049,-0.137,-0.075,-0.102,-0.228,-0.13,0.86,0.701,0.783,0.668,0.022728,2.888671875
mep,26,rf,Baseline,Baseline,-0.05,-0.02,-0.02,-0.038,-0.118,-0.06,-0.085,-0.165,-0.093,0.86,0.709,0.776,0.678,0.718341,25353.865234375
